gene,frequency,go_terms
Nlgn1,15,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); synapse assembly (GO:0007416, p=5.59e-07); vesicle-mediated transport in synapse (GO:0099003, p=1.32e-05); regulation of synapse assembly (GO:0051963, p=1.35e-05); negative regulation of cell projection organization (GO:0031345, p=1.37e-05); synaptic vesicle cycle (GO:0099504, p=1.41e-04); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); regulation of synaptic plasticity (GO:0048167, p=2.94e-04); positive regulation of cell projection organization (GO:0031346, p=3.33e-04); regulation of membrane potential (GO:0042391, p=7.51e-04); dendrite development (GO:0016358, p=8.08e-04); negative regulation of neuron projection development (GO:0010977, p=4.03e-03); positive regulation of neuron projection development (GO:0010976, p=4.68e-03)"
Ptprs,13,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); axonogenesis (GO:0007409, p=1.30e-08); synapse assembly (GO:0007416, p=5.59e-07); regulation of synapse assembly (GO:0051963, p=1.35e-05); negative regulation of cell projection organization (GO:0031345, p=1.37e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); dendrite development (GO:0016358, p=8.08e-04); negative regulation of neuron projection development (GO:0010977, p=4.03e-03); cell growth (GO:0016049, p=5.17e-03); developmental cell growth (GO:0048588, p=5.35e-03); developmental growth involved in morphogenesis (GO:0060560, p=6.51e-03)"
Ephb2,13,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); axonogenesis (GO:0007409, p=1.30e-08); synapse assembly (GO:0007416, p=5.59e-07); regulation of synapse assembly (GO:0051963, p=1.35e-05); negative regulation of cell projection organization (GO:0031345, p=1.37e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); regulation of synaptic plasticity (GO:0048167, p=2.94e-04); positive regulation of cell projection organization (GO:0031346, p=3.33e-04); dendrite development (GO:0016358, p=8.08e-04); negative regulation of neuron projection development (GO:0010977, p=4.03e-03); positive regulation of neuron projection development (GO:0010976, p=4.68e-03)"
Epha7,12,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); axonogenesis (GO:0007409, p=1.30e-08); synapse assembly (GO:0007416, p=5.59e-07); regulation of synapse assembly (GO:0051963, p=1.35e-05); negative regulation of cell projection organization (GO:0031345, p=1.37e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); negative regulation of neuron projection development (GO:0010977, p=4.03e-03); cell growth (GO:0016049, p=5.17e-03); developmental cell growth (GO:0048588, p=5.35e-03); developmental growth involved in morphogenesis (GO:0060560, p=6.51e-03)"
Nrg1,11,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); synapse assembly (GO:0007416, p=5.59e-07); vesicle-mediated transport in synapse (GO:0099003, p=1.32e-05); regulation of synapse assembly (GO:0051963, p=1.35e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); positive regulation of cell projection organization (GO:0031346, p=3.33e-04); neuron migration (GO:0001764, p=2.98e-03); positive regulation of neuron projection development (GO:0010976, p=4.68e-03); cell growth (GO:0016049, p=5.17e-03)"
Ptk2,11,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); axonogenesis (GO:0007409, p=1.30e-08); synapse assembly (GO:0007416, p=5.59e-07); regulation of synapse assembly (GO:0051963, p=1.35e-05); negative regulation of cell projection organization (GO:0031345, p=1.37e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); neuron migration (GO:0001764, p=2.98e-03); negative regulation of neuron projection development (GO:0010977, p=4.03e-03); cell growth (GO:0016049, p=5.17e-03)"
Cfl1,10,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); negative regulation of cell projection organization (GO:0031345, p=1.37e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); regulation of synaptic plasticity (GO:0048167, p=2.94e-04); positive regulation of cell projection organization (GO:0031346, p=3.33e-04); dendrite development (GO:0016358, p=8.08e-04); cell growth (GO:0016049, p=5.17e-03); developmental growth involved in morphogenesis (GO:0060560, p=6.51e-03)"
Hnrnpk,9,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); regulation of synaptic plasticity (GO:0048167, p=2.94e-04); positive regulation of cell projection organization (GO:0031346, p=3.33e-04); dendrite development (GO:0016358, p=8.08e-04); positive regulation of neuron projection development (GO:0010976, p=4.68e-03); cell growth (GO:0016049, p=5.17e-03); developmental cell growth (GO:0048588, p=5.35e-03); developmental growth involved in morphogenesis (GO:0060560, p=6.51e-03)"
Agrn,9,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); axonogenesis (GO:0007409, p=1.30e-08); synapse assembly (GO:0007416, p=5.59e-07); regulation of synapse assembly (GO:0051963, p=1.35e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); positive regulation of cell projection organization (GO:0031346, p=3.33e-04); regulation of membrane potential (GO:0042391, p=7.51e-04)"
St8sia2,9,"regulation of synapse organization (GO:0050807, p=3.85e-10); regulation of synapse structure or activity (GO:0050803, p=8.82e-10); synapse assembly (GO:0007416, p=5.59e-07); regulation of synapse assembly (GO:0051963, p=1.35e-05); cell junction assembly (GO:0034329, p=2.00e-04); regulation of cell junction assembly (GO:1901888, p=2.57e-04); cell growth (GO:0016049, p=5.17e-03); developmental cell growth (GO:0048588, p=5.35e-03); developmental growth involved in morphogenesis (GO:0060560, p=6.51e-03)"
