"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm42418",1.32648282762024e-115,-0.835151401523384,0.993,1,3.32244153834041e-111,"Gm42418","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Meg3",2.03550443972782e-63,0.497082224568544,0.998,1,5.09832797018627e-59,"Meg3","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Dalrd3",7.4170985170322e-52,1.46638965974889,0.835,0.617,1.85776066556106e-47,"Dalrd3","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cpt1c",1.71010343892277e-50,1.32400463814018,0.804,0.598,4.28329608346986e-46,"Cpt1c","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Prpf4b",7.97235317354736e-50,1.00266330855724,0.896,0.824,1.99683529937841e-45,"Prpf4b","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cwc22",1.58120335285252e-45,-1.37323159951725,0.63,0.895,3.9604400378897e-41,"Cwc22","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"AY036118",3.42516595902535e-38,-0.751101686691455,0.872,0.964,8.5790131775708e-34,"AY036118","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Taco1",1.34132377467547e-31,1.62211113705372,0.449,0.244,3.35961365842965e-27,"Taco1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ahi1",3.91894600109535e-30,0.590722139400818,0.985,0.986,9.81578404894352e-26,"Ahi1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Malat1",2.32138348986733e-29,0.473024600215656,1,1,5.8143692270707e-25,"Malat1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ddx5",5.16774881261067e-27,0.664690773958893,0.967,0.942,1.2943660450946e-22,"Ddx5","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Atp6v0c",7.23074143748555e-27,-0.770196200449754,0.526,0.798,1.81108380784701e-22,"Atp6v0c","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Leng9",9.33911188578654e-27,1.44656935043692,0.529,0.304,2.33916735403295e-22,"Leng9","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ppia",1.73887237231285e-26,-0.858479946054929,0.502,0.791,4.355353630932e-22,"Ppia","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Hsp90aa1",3.0341016666313e-26,-0.924780469498825,0.496,0.784,7.59951444441143e-22,"Hsp90aa1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Prrt1",7.50206276005638e-26,1.38284197885361,0.509,0.331,1.87904165951132e-21,"Prrt1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Akt3",8.34308684039291e-26,-0.465534985599843,0.971,0.997,2.08969296091321e-21,"Akt3","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Snrnp70",9.77642293856182e-26,0.717492435610309,0.907,0.893,2.44870065342158e-21,"Snrnp70","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Pabpn1",1.03224951757195e-25,0.811135177809432,0.903,0.827,2.58547536666246e-21,"Pabpn1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Tuba1a",1.60465632202878e-24,-0.639384085264263,0.857,0.956,4.01918268978548e-20,"Tuba1a","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Nbea",3.65495535900819e-23,-0.385948630352511,0.993,0.997,9.15456668770781e-19,"Nbea","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Fhl1",6.31627358235487e-20,0.955956236069154,0.729,0.616,1.58203704417242e-15,"Fhl1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Gm20754",2.9516735507427e-19,-0.596443192246356,0.938,0.981,7.39305674254525e-15,"Gm20754","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Son",6.08278082844752e-19,0.573053900774607,0.919,0.914,1.52355411410125e-14,"Son","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Aldoa",5.80944510798216e-18,-0.895311681831177,0.315,0.596,1.45509171619629e-13,"Aldoa","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Gm36975",2.86244538249897e-17,0.872033720006203,0.586,0.497,7.16956694954518e-13,"Gm36975","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cfl1",3.42140011101816e-17,-1.1190337894177,0.286,0.556,8.56958085806718e-13,"Cfl1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"4921511C10Rik",3.78370357044793e-17,1.25502266028279,0.427,0.277,9.47704233290092e-13,"4921511C10Rik","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Gapdh",4.22668623860861e-17,-0.848558751450523,0.357,0.637,1.0586581021843e-12,"Gapdh","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Tubb2b",5.75290177306137e-17,-0.722917948263403,0.564,0.764,1.44092930709868e-12,"Tubb2b","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Gphn",9.21388932381273e-17,-0.371858230580346,0.965,0.99,2.30780285893537e-12,"Gphn","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Pigk",1.06112364330476e-16,0.563526121480543,0.751,0.752,2.65779638938542e-12,"Pigk","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Actg1",1.31938175287008e-16,-0.726603260546555,0.513,0.765,3.30465547641368e-12,"Actg1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Nlgn1",3.8258725884785e-16,-0.262795412597141,1,0.999,9.5826630723621e-12,"Nlgn1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Dynlt1a",3.85239349455035e-16,1.58228119253239,0.346,0.189,9.64908998580025e-12,"Dynlt1a","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ube3a",6.41176578114229e-16,0.367668356543675,0.914,0.958,1.60595497520271e-11,"Ube3a","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Gm20642",7.40046658511416e-16,0.649166059224851,0.718,0.685,1.85359486557354e-11,"Gm20642","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Las1l",5.34390565234102e-15,0.724240290080268,0.696,0.606,1.33848804874186e-10,"Las1l","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ckb",7.05968400214569e-15,-0.703959926740346,0.385,0.644,1.76823905201743e-10,"Ckb","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Serinc1",1.26580911815057e-14,-0.607998030847334,0.522,0.769,3.17047209823173e-10,"Serinc1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Ptbp2",2.05253070437397e-14,-0.547877850419318,0.848,0.959,5.14097365524547e-10,"Ptbp2","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Rab3a",3.87705600047212e-14,-0.898156990266282,0.189,0.43,9.71086216438251e-10,"Rab3a","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Cnot3",4.48268049962709e-14,0.912498288661376,0.416,0.286,1.1227769847416e-09,"Cnot3","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Slc24a5",4.66178178991795e-14,1.29932582491286,0.319,0.196,1.16763648492075e-09,"Slc24a5","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Khdrbs3",4.83606589089065e-14,-0.423694064334694,0.943,0.985,1.21128942369138e-09,"Khdrbs3","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Atp6v0b",6.34068744171026e-14,0.511964163094182,0.914,0.893,1.58815198352517e-09,"Atp6v0b","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Tubb2a",6.48553660934042e-14,-0.510258002006432,0.692,0.837,1.62443235454149e-09,"Tubb2a","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Mast1",6.82767297092137e-14,0.80982004234938,0.656,0.543,1.71012724902668e-09,"Mast1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Gm4258",7.6076146865102e-14,0.399145225138543,0.769,0.796,1.90547925053021e-09,"Gm4258","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rps10",8.4327462511277e-14,-0.854951822719901,0.176,0.398,2.11214995351995e-09,"Rps10","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Jakmip2",8.80667971873297e-14,0.354539163869538,0.841,0.887,2.20580906915105e-09,"Jakmip2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Msra",1.11151670561387e-13,0.465589422063496,0.969,0.981,2.78401589255106e-09,"Msra","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Mirg",1.52095430315292e-13,0.515053134421602,0.872,0.872,3.80953424310713e-09,"Mirg","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Nlk",2.68682475056824e-13,0.590275337967127,0.663,0.635,6.72968995274826e-09,"Nlk","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rpl19",2.86377959442922e-13,-0.756392267503378,0.216,0.457,7.17290875016687e-09,"Rpl19","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Leng8",3.42825306393047e-13,0.718669256900184,0.683,0.639,8.58674544922666e-09,"Leng8","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Prkcg",4.65215110721746e-13,0.479445574879024,0.751,0.738,1.16522428782476e-08,"Prkcg","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Klhl7",6.01088285250478e-13,-0.774508701700855,0.5,0.747,1.50554582806687e-08,"Klhl7","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Calm3",6.70577967806018e-13,-0.994851317908254,0.227,0.458,1.67959663596373e-08,"Calm3","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Rpl13",1.01360129958346e-12,-0.638245642183554,0.293,0.54,2.53876717506669e-08,"Rpl13","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Polb",1.27262065003022e-12,0.557264675223097,0.599,0.605,3.1875329421307e-08,"Polb","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rufy3",2.13228587415801e-12,0.501961500281468,0.722,0.71,5.34073642900358e-08,"Rufy3","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rasal1",2.20492249603397e-12,1.03115449824675,0.502,0.368,5.52266937581627e-08,"Rasal1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Gria2",2.52961921417732e-12,0.232981367227936,1,0.999,6.33593724574993e-08,"Gria2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Pja2",2.98135188547801e-12,-0.586011562925521,0.703,0.861,7.46739206755677e-08,"Pja2","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Hsp90ab1",3.31404698365427e-12,-0.460381034600978,0.634,0.841,8.30069347995884e-08,"Hsp90ab1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Hdac7",3.34935225771284e-12,0.866428621169886,0.427,0.343,8.38912259989334e-08,"Hdac7","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Brd9",3.79773552307768e-12,0.561180094887978,0.716,0.714,9.51218816465267e-08,"Brd9","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Calm1",4.23648765357779e-12,-0.640385665394454,0.595,0.8,1.06111306259163e-07,"Calm1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Gpi1",8.08397440291757e-12,0.409594461919621,0.767,0.81,2.02479306869876e-07,"Gpi1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Pcsk2",8.82665093072252e-12,0.414067131617729,0.868,0.86,2.21081125861807e-07,"Pcsk2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rpl24",9.8460747775393e-12,-0.94270421493972,0.126,0.315,2.46614634953027e-07,"Rpl24","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Cst3",1.02788382480569e-11,-0.507398669033974,0.311,0.534,2.57454061599082e-07,"Cst3","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Jph4",1.07395583420038e-11,0.62337956826811,0.771,0.703,2.68993717792169e-07,"Jph4","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ints6",1.16667353845687e-11,0.572091746776789,0.656,0.621,2.92216721177293e-07,"Ints6","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cmip",1.17314692757207e-11,0.460979929090596,0.676,0.671,2.93838110948976e-07,"Cmip","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Gm16183",1.41122271891738e-11,0.745312064275049,0.476,0.436,3.53468954407237e-07,"Gm16183","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ubb",1.4321586280348e-11,-0.749491475982108,0.337,0.556,3.58712771563875e-07,"Ubb","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Clk1",1.49699696294741e-11,0.561846854047411,0.676,0.592,3.74952829309437e-07,"Clk1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Kpnb1",1.56116821636404e-11,-0.803366296519648,0.357,0.598,3.91025803152701e-07,"Kpnb1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Spink10",1.58149704955596e-11,1.02919961597953,0.306,0.203,3.96117566002282e-07,"Spink10","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Myl6",1.91300424014255e-11,-0.735655834178707,0.313,0.537,4.79150172028505e-07,"Myl6","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Tra2a",1.94939484203737e-11,0.559773914006099,0.696,0.633,4.882649260851e-07,"Tra2a","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Bcl11a",2.04298336020891e-11,0.334226350885229,0.806,0.852,5.11706042231525e-07,"Bcl11a","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Hspa8",2.62467860620318e-11,-0.335062217900504,0.634,0.822,6.57403250495711e-07,"Hspa8","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Gpatch8",2.73540989759323e-11,0.316699684273245,0.846,0.893,6.85138117050176e-07,"Gpatch8","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Fgf14",4.30826658104014e-11,-0.215467017720849,1,1,1.07909153055312e-06,"Fgf14","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Arpp21",4.41440748078866e-11,0.282868962930003,0.985,0.991,1.10567664171314e-06,"Arpp21","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Sbf1",5.01745932425595e-11,0.583083888489485,0.623,0.593,1.25672303694639e-06,"Sbf1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Pfn1",5.24552924319723e-11,-0.930131382064274,0.104,0.28,1.31384770954361e-06,"Pfn1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Gm49179",5.53084696206744e-11,1.13384265943189,0.392,0.273,1.38531123858903e-06,"Gm49179","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ankrd13d",6.74192255814863e-11,0.801259285277313,0.542,0.408,1.68864934313949e-06,"Ankrd13d","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cep290",6.95745093860406e-11,0.84630481042638,0.414,0.288,1.74263273659216e-06,"Cep290","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Pacsin1",7.96377163129832e-11,0.509174553398687,0.648,0.61,1.99468588049129e-06,"Pacsin1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Dnmt3a",8.2211310451806e-11,0.635799956498497,0.645,0.614,2.05914669288638e-06,"Dnmt3a","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Nptx1",8.72952328231180e-11,-0.793566674047301,0.315,0.542,2.18648369652064e-06,"Nptx1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Mpp6",9.38524582911293e-11,0.527758936028763,0.661,0.606,2.35072252281792e-06,"Mpp6","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Gm16105",9.41403787804414e-11,1.13375943186354,0.333,0.22,2.35793406731372e-06,"Gm16105","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Srsf5",1.24069004126391e-10,0.533010650627192,0.7,0.696,3.10755634635371e-06,"Srsf5","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rims2",1.26997476386464e-10,-0.364719748651184,0.952,0.977,3.18090579105177e-06,"Rims2","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Gtdc1",1.29671905787425e-10,-0.470968457321371,0.83,0.944,3.24789222425764e-06,"Gtdc1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Rufy2",1.48190951373868e-10,0.542299464204244,0.595,0.549,3.71173875906128e-06,"Rufy2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"1700016P03Rik",1.74334895166301e-10,-1.02045543534428,0.106,0.275,4.36656611923033e-06,"1700016P03Rik","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Pabpc4",2.02473231122231e-10,0.947932254927872,0.493,0.395,5.07134701991851e-06,"Pabpc4","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rplp1",2.18921529496007e-10,-0.687402412977996,0.337,0.557,5.48332754928648e-06,"Rplp1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Lrp1",2.51108142898273e-10,0.583054139105654,0.612,0.542,6.28950565517303e-06,"Lrp1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Pnisr",2.6008710898028e-10,0.392156489292398,0.778,0.796,6.51440181862908e-06,"Pnisr","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"E2f3",3.05783706316579e-10,0.705800965497607,0.381,0.33,7.65896449211135e-06,"E2f3","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Mdh1",3.38270872457424e-10,-0.620162368851734,0.33,0.564,8.4726705424411e-06,"Mdh1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Pom121",3.41145920589836e-10,-0.923176634809803,0.17,0.365,8.54468187301361e-06,"Pom121","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Rps25",3.56331942132077e-10,-0.914629431489456,0.126,0.299,8.92504615458215e-06,"Rps25","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Dpf3",3.70499631091409e-10,0.553884557569718,0.626,0.635,9.27990425994652e-06,"Dpf3","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cacna1b",3.76268802851873e-10,0.310076011124525,0.916,0.933,9.42440470503087e-06,"Cacna1b","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Fhit",3.80793856982723e-10,-0.771498109058309,0.489,0.716,9.53774373584626e-06,"Fhit","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Cox7b",3.87108377640654e-10,0.968334088286952,0.487,0.431,9.69590353476545e-06,"Cox7b","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Uchl1",3.89356481356069e-10,-0.564100441006416,0.544,0.736,9.75221178852546e-06,"Uchl1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Tmem181a",4.0263110803233e-10,0.610641015449925,0.661,0.617,1.00847013628858e-05,"Tmem181a","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cck",4.56424088641306e-10,-0.660537143910841,0.225,0.409,1.14320541481988e-05,"Cck","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Upp2",4.57111271965064e-10,0.757557792391047,0.467,0.362,1.14492660289089e-05,"Upp2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Atp1b1",4.89930620100237e-10,-0.392748026189053,0.819,0.911,1.22712922416506e-05,"Atp1b1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Hectd2os",5.11231695805025e-10,0.675733844471644,0.456,0.39,1.28048202848285e-05,"Hectd2os","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Akap8l",5.17481964579866e-10,0.661464534182149,0.608,0.526,1.29613707668319e-05,"Akap8l","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Cacna1d",5.72198708611701e-10,0.303875451444932,0.943,0.967,1.43318610545973e-05,"Cacna1d","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Lrfn2",5.89866054851631e-10,0.478175550384278,0.698,0.665,1.47743750758688e-05,"Lrfn2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Pnkp",6.07996330042839e-10,1.26304280115332,0.302,0.194,1.5228484078583e-05,"Pnkp","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Kansl1",7.08598365956243e-10,0.339893313387206,0.899,0.915,1.7748263272106e-05,"Kansl1","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Dync1i2",7.12508021691154e-10,0.3344001924989,0.841,0.887,1.78461884192983e-05,"Dync1i2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ndn",7.98550050148092e-10,-0.609876658601449,0.209,0.393,2.00012831060593e-05,"Ndn","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Ubc",8.10974256236676e-10,-0.778523711258431,0.163,0.347,2.031247219596e-05,"Ubc","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Gm26936",8.16333005899747e-10,0.87012712464664,0.306,0.202,2.0446692798771e-05,"Gm26936","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Actb",8.41094760471085e-10,-0.375663519993146,0.615,0.801,2.10669004655193e-05,"Actb","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Rps14",8.52476350324762e-10,-0.634462698804993,0.271,0.487,2.13519751465843e-05,"Rps14","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Bicral",9.40248234459492e-10,0.61730000981249,0.496,0.444,2.35503975285069e-05,"Bicral","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Ccser1",9.93728454060041e-10,-0.233413458486745,0.991,1,2.48899165888418e-05,"Ccser1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Pgrmc1",1.03526554488657e-09,-0.651897251008799,0.2,0.377,2.59302961027739e-05,"Pgrmc1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Atp2b1",1.05764437049901e-09,-0.346726943722061,0.965,0.991,2.64908185478888e-05,"Atp2b1","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Chchd2",1.06890546430179e-09,-0.878055309895628,0.192,0.384,2.6772875164367e-05,"Chchd2","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Itm2b",1.09773985539195e-09,-0.465704608857438,0.634,0.831,2.74950901580021e-05,"Itm2b","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Supt20",1.25983107407497e-09,0.74542948056327,0.487,0.403,3.15549889123558e-05,"Supt20","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Odf2",1.30006207021346e-09,0.566244224196926,0.714,0.7,3.25626546726365e-05,"Odf2","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"Rprml",1.32996944530722e-09,-0.871208542363561,0.108,0.27,3.331174469661e-05,"Rprml","ExN_CA3","24hrvs1hr_PTZ","Down","Sig"
"Srrm4",1.39554814918513e-09,0.56549083523228,0.681,0.635,3.49542944926399e-05,"Srrm4","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"1500004A13Rik",1.62449990494986e-09,0.821031607944741,0.385,0.295,4.06888491192791e-05,"1500004A13Rik","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
"C78859",1.83826017922363e-09,0.52668190491448,0.533,0.494,4.60429027090142e-05,"C78859","ExN_CA3","24hrvs1hr_PTZ","Up","Sig"
