"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Cwc22",1.64262146160932e-13,1.23192983848042,0.71,0.505,4.11427397489286e-09,"Cwc22","OPCs","PTZvsSAL_1hr","Up","Sig"
"Ptprz1",2.61145133480648e-07,0.280781356452658,0.995,0.974,0.00654090215828978,"Ptprz1","OPCs","PTZvsSAL_1hr","Up","Sig"
"Malat1",5.40050381158367e-06,-0.287108864370891,1,1,0.135266418968736,"Malat1","OPCs","PTZvsSAL_1hr","Down","Sig"
"Ank3",2.93057919183154e-05,-0.259436705249706,0.63,0.542,0.734022170178046,"Ank3","OPCs","PTZvsSAL_1hr","Down","Sig"
"5730522E02Rik",5.180607582422e-05,-0.660218090188835,0.277,0.323,1,"5730522E02Rik","OPCs","PTZvsSAL_1hr","Down","Sig"
"Bcan",0.000108364761248678,0.357213417700793,0.766,0.677,1,"Bcan","OPCs","PTZvsSAL_1hr","Up","Sig"
"Tnr",0.000131099221999035,0.414805925399635,0.9,0.885,1,"Tnr","OPCs","PTZvsSAL_1hr","Up","Sig"
"Apc",0.000255703301549996,-0.540014871786614,0.401,0.469,1,"Apc","OPCs","PTZvsSAL_1hr","Down","Sig"
"Meg3",0.000379706480451506,-0.335290918297595,0.36,0.411,1,"Meg3","OPCs","PTZvsSAL_1hr","Down","Sig"
"Plppr1",0.000509585492594143,-0.398100878655579,0.657,0.776,1,"Plppr1","OPCs","PTZvsSAL_1hr","Down","Sig"
"Gm2164",0.000529878939848057,1.02936955977943,0.307,0.13,1,"Gm2164","OPCs","PTZvsSAL_1hr","Up","Sig"
"Gm47283",0.00055684986298475,-0.699914415977085,0.392,0.448,1,"Gm47283","OPCs","PTZvsSAL_1hr","Down","Sig"
"Ccser1",0.000653447908362584,-0.337859740521749,0.813,0.854,1,"Ccser1","OPCs","PTZvsSAL_1hr","Down","Sig"
"AY036118",0.000681043266574898,-0.509536632596054,0.543,0.599,1,"AY036118","OPCs","PTZvsSAL_1hr","Down","Sig"
"Vcan",0.000803818052398895,0.798143997992476,0.623,0.453,1,"Vcan","OPCs","PTZvsSAL_1hr","Up","Sig"
"Tenm2",0.000941998058748028,-0.444119809410946,0.44,0.469,1,"Tenm2","OPCs","PTZvsSAL_1hr","Down","Sig"
