"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"AY036118",8.95676994717158e-27,-1.26144603850462,0.918,0.938,2.24340216866806e-22,"AY036118","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Gm42418",1.14217371515934e-25,-0.850405547431467,1,1,2.86080250435961e-21,"Gm42418","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Gm47283",1.5078772046031e-22,-2.01921519700523,0.662,0.751,3.77678003436938e-18,"Gm47283","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Tuba1a",8.41080958092473e-16,-1.61175936294401,0.872,0.85,2.10665547573422e-11,"Tuba1a","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Ubb",1.20563746288653e-15,-2.88101458838521,0.164,0.469,3.01976015329189e-11,"Ubb","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Tubb2a",1.23362496449921e-14,-1.85792005389619,0.571,0.739,3.08986044858118e-10,"Tubb2a","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Mir99ahg",3.15660939049607e-13,0.568515745219311,0.968,0.839,7.90635954037551e-09,"Mir99ahg","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Tubb2b",8.66874154333328e-12,-2.22371893048758,0.466,0.61,2.17125969435869e-07,"Tubb2b","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Actb",1.22376314701084e-11,-1.70139896853941,0.557,0.657,3.06515955431806e-07,"Actb","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Ahi1",5.74076921804313e-11,0.436094596078722,0.991,0.862,1.43789046604326e-06,"Ahi1","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Gapdh",1.12380816049671e-10,-2.08353204327119,0.274,0.422,2.81480229959612e-06,"Gapdh","ExN_23","24hrvs1hr_SAL","Down","Sig"
"AC149090.1",2.23570731868237e-10,0.512487593338758,0.909,0.672,5.59977612110374e-06,"AC149090.1","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Tubb5",2.97704499326339e-10,-1.82381096861283,0.603,0.666,7.4566045946268e-06,"Tubb5","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Tuba1b",5.87409645509438e-10,-2.12700506929953,0.242,0.402,1.47128493910749e-05,"Tuba1b","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Nnat",7.79654263032253e-10,0.438782142749955,0.799,0.604,1.95280003261688e-05,"Nnat","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Gpc5",9.89006923717163e-10,-0.551451615283886,0.612,0.49,2.47716564183438e-05,"Gpc5","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Atp6v0b",1.15952349202292e-09,0.268044816625177,0.945,0.666,2.90425849046981e-05,"Atp6v0b","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Inpp4b",1.48177081761877e-09,-0.641700859191707,0.457,0.475,3.71139136688975e-05,"Inpp4b","ExN_23","24hrvs1hr_SAL","Down","Sig"
"mt-Nd4",1.52836357712843e-09,-1.68974672751206,0.274,0.431,3.82809225163357e-05,"mt-Nd4","ExN_23","24hrvs1hr_SAL","Down","Sig"
"mt-Co3",1.74185790754471e-09,-1.41192965634744,0.658,0.76,4.36283150102725e-05,"mt-Co3","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Trps1",1.85219068463671e-09,-0.559211074682056,0.594,0.578,4.63918200780958e-05,"Trps1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Prr16",3.91346458721612e-09,0.417553300567395,0.639,0.466,9.80205475160021e-05,"Prr16","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Actg1",5.38847417565471e-09,-1.41572930682785,0.525,0.584,0.000134965112677624,"Actg1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Hsp90aa1",7.44465507197489e-09,-1.68137417937019,0.429,0.589,0.000186466275587755,"Hsp90aa1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"mt-Co1",7.76921528483703e-09,-1.37680137226987,0.443,0.589,0.000194595535239313,"mt-Co1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Atp5g3",9.0133386350813e-09,-2.39681423353995,0.11,0.284,0.000225757092792881,"Atp5g3","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Hs3st4",1.16061646945284e-08,-1.20412171900832,0.187,0.252,0.000290699607103854,"Hs3st4","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Pdzrn3",1.21527724547176e-08,-0.869740669934357,0.384,0.44,0.000304390491673311,"Pdzrn3","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Egfem1",1.22704825576578e-08,-0.568565546634753,0.772,0.789,0.000307338776621656,"Egfem1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Hspa8",1.7780037746215e-08,-1.88132760356733,0.484,0.625,0.000445336605429448,"Hspa8","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Ldlrad4",1.79091778837078e-08,-0.604002702757877,0.689,0.598,0.000448571178453229,"Ldlrad4","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Cfl1",3.26284985803371e-08,-1.93565211125594,0.251,0.375,0.000817246003941703,"Cfl1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Calm3",3.38205441017487e-08,-1.56759090658742,0.205,0.284,0.0008471031681165,"Calm3","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Mid1",4.47408587286455e-08,-1.56928720668827,0.237,0.328,0.00112062428857638,"Mid1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Tubb4b",4.81300207459319e-08,-2.04160677664722,0.155,0.279,0.00120551262962336,"Tubb4b","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Upp2",5.75594319239202e-08,1.05577431095926,0.676,0.232,0.00144169109139843,"Upp2","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Nav3",6.97885999599723e-08,-0.270714246364776,0.991,0.988,0.00174799506319743,"Nav3","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Nrg3",1.59230779352128e-07,-0.0615186956189966,1,1,0.00398825333043274,"Nrg3","ExN_23","24hrvs1hr_SAL","Down","pValue"
"Ptprd",1.94560736504312e-07,-0.114536288134604,1,1,0.0048731627672235,"Ptprd","ExN_23","24hrvs1hr_SAL","Down","pValue"
"Kcnc2",2.44196853659894e-07,-0.311825592982572,0.438,0.387,0.00611639859361938,"Kcnc2","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Ntng1",2.87423824284918e-07,-0.0236502326826495,0.671,0.607,0.00719910452686434,"Ntng1","ExN_23","24hrvs1hr_SAL","Down","pValue"
"Il1rapl2",3.26508485717497e-07,0.635168669500491,0.648,0.372,0.00817805804176613,"Il1rapl2","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Gm12160",4.3602281483499e-07,2.43155315679206,0.292,0.035,0.010921063443172,"Gm12160","ExN_23","24hrvs1hr_SAL","Up","Sig"
"Ppia",5.0299044807249e-07,-1.617081984796,0.575,0.595,0.0125984017528717,"Ppia","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Hsp90ab1",6.40526490392374e-07,-1.18217452575726,0.584,0.557,0.0160432670048578,"Hsp90ab1","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Lars2",7.85557769214212e-07,-0.882930096228563,0.612,0.554,0.0196758654455084,"Lars2","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Sdccag8",8.89752470163792e-07,-0.525409331984664,0.676,0.484,0.0222856301201925,"Sdccag8","ExN_23","24hrvs1hr_SAL","Down","Sig"
"Asic2",1.00653996632729e-06,0.817512814092185,0.963,0.921,0.0252108065365996,"Asic2","ExN_23","24hrvs1hr_SAL","Up","Sig"
